Game,Draw,DrawDate,BallCase,Globe,b1,b2,b3,b4,b5,b6,b7,LuckyMonth
DS0731,588,05/04/2022,04DS,G3,14,04,19,16,09,24,08,08
DS0731,589,07/04/2022,04DS,G3,16,18,17,12,22,02,23,06
DS0731,590,09/04/2022,04DS,G3,28,18,05,01,08,27,19,08
DS0731,591,12/04/2022,04DS,G3,17,19,27,02,20,25,23,07
DS0731,592,14/04/2022,04DS,G3,26,19,22,12,10,09,04,07
DS0731,593,16/04/2022,11DS,G3,20,13,02,18,29,10,09,12
DS0731,594,19/04/2022,11DS,G4,15,18,31,16,27,17,06,07
DS0731,595,23/04/2022,11DS,G4,09,22,08,19,31,25,04,04
DS0731,596,26/04/2022,11DS,G4,02,09,14,28,25,26,05,03
DS0731,597,28/04/2022,11DS,G4,10,06,24,13,22,29,07,08
DS0731,598,30/04/2022,11DS,G4,20,09,07,25,15,13,24,06
DS0731,599,03/05/2022,11DS,G3,26,17,02,06,07,03,29,11
DS0731,600,05/05/2022,11DS,G3,09,11,28,18,24,02,04,02
DS0731,601,07/05/2022,11DS,G4,25,12,11,18,09,10,19,12
DS0731,602,10/05/2022,11DS,G3,15,11,08,30,19,06,01,11
DS0731,603,12/05/2022,11DS,G3,27,21,02,22,28,26,31,09
DS0731,604,14/05/2022,11DS,G4,18,07,24,20,28,06,12,07
DS0731,605,17/05/2022,11DS,G3,23,10,31,09,27,20,29,12
DS0731,606,19/05/2022,11DS,G3,31,13,17,07,16,03,14,01
DS0731,607,21/05/2022,11DS,G4,21,11,23,10,17,26,09,03
DS0731,608,24/05/2022,11DS,G3,27,07,31,26,12,22,08,06
DS0731,609,26/05/2022,11DS,G3,09,02,30,19,11,31,04,05
DS0731,610,28/05/2022,11DS,G1,04,18,08,21,16,29,02,08
